Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2019-09-20,1577.64,1582.87,1573.26,578900393795.0,0.0
2019-09-19,1576.38,1577.63,1566.48,578435953420.0,0.0
2019-09-18,1571.55,1573.76,1560.9,576665325386.0,0.0
2019-09-17,1563.12,1568.62,1549.63,573572150768.0,0.0
2019-09-16,1553.87,1564.41,1542.04,570177977199.0,0.0
2019-09-13,1580.27,1582.05,1571.86,579863121378.0,0.0
2019-09-12,1578.53,1580.2,1568.53,579225264812.0,0.0
2019-09-11,1572.46,1588.69,1569.37,576999986787.0,0.0
2019-09-10,1585.37,1585.37,1568.37,581734603087.0,0.0
2019-09-09,1570.06,1587.74,1565.77,576117930899.0,187299200.0
2019-09-06,1586.24,1587.56,1567.35,582242825708.0,0.0
2019-09-05,1568.06,1576.89,1560.2,575569942529.0,0.0
2019-09-04,1566.36,1578.79,1563.89,574946125135.0,0.0
2019-09-03,1566.83,1566.83,1549.96,575120675218.0,0.0
2019-09-02,1565.97,1578.5,1564.0,574803023490.0,0.0
2019-08-30,1567.34,1582.23,1564.34,575244320578.0,0.0
2019-08-29,1566.97,1573.14,1553.78,575106608252.0,0.0
2019-08-28,1563.66,1568.06,1550.38,573890782761.0,0.0
2019-08-27,1531.93,1533.08,1516.9,562248040783.0,0.0
2019-08-26,1525.98,1529.19,1499.05,560063048829.0,0.0
2019-08-23,1518.38,1538.49,1518.04,557257010708.0,0.0
2019-08-22,1521.06,1528.16,1515.83,558238077633.0,0.0
2019-08-21,1517.77,1522.28,1508.5,557033166838.0,0.0
2019-08-20,1507.21,1519.01,1504.86,553156927433.0,0.0
2019-08-19,1504.81,1506.99,1479.49,552275944165.0,0.0
2019-08-16,1479.1,1480.35,1457.5,542837784898.0,0.0
2019-08-15,1458.09,1465.43,1435.2,535130212159.0,0.0
2019-08-14,1439.73,1472.24,1438.8,528390826893.0,0.0
2019-08-13,1471.0,1481.63,1451.98,539867282525.0,0.0
2019-08-12,1462.69,1483.86,1459.54,536816139395.0,0.0
2019-08-09,1472.03,1478.51,1465.95,540246372988.0,0.0
2019-08-08,1470.73,1476.67,1451.69,539768157858.0,0.0
2019-08-07,1450.18,1455.49,1439.39,532224086653.0,0.0
2019-08-06,1441.07,1455.95,1437.25,528882251322.0,0.0
2019-08-05,1450.07,1468.01,1442.21,532185122585.0,0.0
2019-08-02,1477.91,1490.35,1471.19,542403089716.0,0.0
2019-08-01,1507.28,1510.32,1478.71,553180399192.0,0.0
2019-07-31,1485.63,1489.38,1476.89,545152152700.0,0.0
2019-07-30,1480.71,1497.75,1474.82,542973607344.0,0.0
2019-07-29,1494.77,1501.28,1482.03,548129829469.0,0.0
2019-07-26,1490.4,1490.52,1478.59,546524800755.0,0.0
2019-07-25,1480.35,1494.76,1471.29,542841320187.0,0.0
2019-07-24,1483.25,1509.34,1482.04,543906007013.0,0.0
2019-07-23,1509.21,1512.78,1501.0,553406334967.0,0.0
2019-07-22,1505.26,1510.64,1493.1,551960844053.0,0.0
2019-07-19,1499.88,1503.5,1480.06,549984783898.0,0.0
2019-07-18,1474.14,1476.79,1461.69,540549470006.0,0.0
2019-07-17,1479.0,1486.07,1476.58,542328320309.0,0.0
2019-07-16,1480.63,1485.41,1477.85,542927367328.0,0.0
2019-07-15,1482.14,1482.58,1467.02,543482084012.0,0.0
2019-07-12,1467.56,1478.01,1465.03,538134754200.0,0.0
2019-07-11,1471.69,1482.89,1469.91,539649740732.0,0.0
2019-07-10,1476.32,1485.19,1470.44,541347506402.0,0.0
2019-07-09,1473.68,1483.02,1469.34,540380212740.0,0.0
2019-07-08,1474.22,1477.89,1465.53,540576465416.0,0.0
2019-07-05,1464.85,1467.67,1453.85,537141152426.0,0.0
2019-07-04,1461.44,1464.24,1454.87,535891219492.0,0.0
2019-07-03,1458.43,1470.18,1458.43,534787388121.0,0.0
2019-07-02,1460.7,1464.07,1448.7,535617830198.0,0.0
2019-07-01,1453.15,1460.57,1440.64,532852474281.0,0.0
2019-06-28,1444.57,1463.01,1434.3,529705441200.0,0.0
2019-06-27,1436.94,1441.7,1356.53,526908384453.0,0.0
2019-06-26,1356.01,1359.66,1349.77,497231406418.0,0.0
2019-06-25,1356.14,1367.6,1356.14,497279369860.0,0.0
